parcl_id,date,pct_volatility
5826765,2024-06-05,0.0052
5826765,2024-06-04,0.005
5826765,2024-06-03,0.0049
5826765,2024-06-02,0.0047
5826765,2024-06-01,0.0047
5826765,2024-05-31,0.0044
5826765,2024-05-30,0.0044
5826765,2024-05-29,0.004
5826765,2024-05-28,0.004
5826765,2024-05-27,0.0043
5826765,2024-05-26,0.0046
5826765,2024-05-25,0.0044
5826765,2024-05-24,0.0046
5826765,2024-05-23,0.0048
5826765,2024-05-22,0.0048
5826765,2024-05-21,0.0048
5826765,2024-05-20,0.0049
5826765,2024-05-19,0.0054
5826765,2024-05-18,0.0055
5826765,2024-05-17,0.0058
5826765,2024-05-16,0.0062
5826765,2024-05-15,0.0065
5826765,2024-05-14,0.0064
5826765,2024-05-13,0.0066
5826765,2024-05-12,0.0066
5826765,2024-05-11,0.0068
5826765,2024-05-10,0.0071
5826765,2024-05-09,0.0071
5826765,2024-05-08,0.0071
5826765,2024-05-07,0.0071
5826765,2024-05-06,0.0073
5826765,2024-05-05,0.0073
5826765,2024-05-04,0.0074
5826765,2024-05-03,0.0076
5826765,2024-05-02,0.0076
5826765,2024-05-01,0.0076
5826765,2024-04-30,0.0077
5826765,2024-04-29,0.0077
5826765,2024-04-28,0.008
5826765,2024-04-27,0.0079
5826765,2024-04-26,0.008
5826765,2024-04-25,0.008
5826765,2024-04-24,0.008
5826765,2024-04-23,0.0076
5826765,2024-04-22,0.0078
5826765,2024-04-21,0.0078
5826765,2024-04-20,0.0078
5826765,2024-04-19,0.0078
5826765,2024-04-18,0.008
5826765,2024-04-17,0.008
5826765,2024-04-16,0.0079
5826765,2024-04-15,0.0079
5826765,2024-04-14,0.0086
5826765,2024-04-13,0.0085
5826765,2024-04-12,0.0093
5826765,2024-04-11,0.0092
5826765,2024-04-10,0.0092
5826765,2024-04-09,0.0094
5826765,2024-04-08,0.0101
5826765,2024-04-07,0.0102
5826765,2024-04-06,0.0102
5826765,2024-04-05,0.0102
5826765,2024-04-04,0.0103
5826765,2024-04-03,0.0103
5826765,2024-04-02,0.0106
5826765,2024-04-01,0.011
5826765,2024-03-31,0.011
5826765,2024-03-30,0.011
5826765,2024-03-29,0.0105
5826765,2024-03-28,0.01
5826765,2024-03-27,0.0095
5826765,2024-03-26,0.0089
5826765,2024-03-25,0.0089
5826765,2024-03-24,0.0095
5826765,2024-03-23,0.0091
5826765,2024-03-22,0.0092
5826765,2024-03-21,0.0097
5826765,2024-03-20,0.0103
5826765,2024-03-19,0.0104
